,time,input_alpha,output_force_left,output_force_right,output_force_total
29,0.4134211540222168,1.0,8.7,11.499999999999998,10.099999999999998
30,0.423633337020874,1.0,8.7,11.499999999999998,10.099999999999998
31,0.4338035583496094,1.0,8.7,11.499999999999998,10.099999999999998
32,0.44399452209472656,1.0,8.7,11.499999999999998,10.099999999999998
33,0.4541809558868408,1.0,8.7,11.499999999999998,10.099999999999998
34,0.46434545516967773,1.0,8.7,11.499999999999998,10.099999999999998
35,0.4744858741760254,1.0,8.7,11.499999999999998,10.099999999999998
36,0.484668493270874,1.0,8.7,11.499999999999998,10.099999999999998
37,0.4948298931121826,1.0,8.7,11.499999999999998,10.099999999999998
38,0.5050058364868164,1.0,8.7,11.499999999999998,10.099999999999998
39,0.5152163505554199,1.0,8.7,11.499999999999998,10.099999999999998
40,0.5253822803497314,1.0,8.7,11.499999999999998,10.099999999999998
41,0.535538911819458,1.0,8.7,11.499999999999998,10.099999999999998
42,0.545712947845459,1.0,8.7,11.499999999999998,10.099999999999998
43,0.5559093952178955,1.0,8.7,11.499999999999998,10.099999999999998
44,0.5660743713378906,1.0,8.7,11.499999999999998,10.099999999999998
45,0.5762560367584229,1.0,8.7,11.499999999999998,10.099999999999998
46,0.5864248275756836,1.0,8.7,11.499999999999998,10.099999999999998
47,0.5965778827667236,1.0,8.7,11.499999999999998,10.099999999999998
48,0.606757402420044,1.0,15.600000000000001,9.3,12.450000000000001
49,0.6169381141662598,1.0,15.600000000000001,9.3,12.450000000000001
50,0.627100944519043,1.0,15.600000000000001,9.3,12.450000000000001
51,0.6372766494750977,1.0,15.600000000000001,9.3,12.450000000000001
52,0.6474676132202148,1.0,15.600000000000001,9.3,12.450000000000001
53,0.6576144695281982,1.0,15.600000000000001,9.3,12.450000000000001
54,0.6678216457366943,1.0,15.600000000000001,9.3,12.450000000000001
55,0.6780407428741455,1.0,15.600000000000001,9.3,12.450000000000001
56,0.6882002353668213,1.0,15.600000000000001,9.3,12.450000000000001
57,0.6983754634857178,1.0,15.600000000000001,9.3,12.450000000000001
58,0.7085697650909424,1.0,15.600000000000001,9.3,12.450000000000001
59,0.7187321186065674,1.0,15.600000000000001,9.3,12.450000000000001
60,0.7289047241210938,1.0,15.600000000000001,9.3,12.450000000000001
61,0.7390930652618408,1.0,15.600000000000001,9.3,12.450000000000001
62,0.7492539882659912,1.0,15.600000000000001,9.3,12.450000000000001
63,0.7594273090362549,1.0,15.600000000000001,9.3,12.450000000000001
64,0.7696244716644287,1.0,15.600000000000001,9.3,12.450000000000001
65,0.7798206806182861,1.0,15.600000000000001,9.3,12.450000000000001
66,0.7900023460388184,1.0,15.600000000000001,9.3,12.450000000000001
67,0.8001918792724609,1.0,15.600000000000001,9.3,12.450000000000001
68,0.8103506565093994,1.0,15.600000000000001,9.3,12.450000000000001
69,0.8204944133758545,1.0,15.600000000000001,9.3,12.450000000000001
70,0.8306550979614258,1.0,15.600000000000001,9.3,12.450000000000001
71,0.8408298492431641,1.0,15.600000000000001,9.3,12.450000000000001
72,0.850975751876831,1.0,15.600000000000001,9.3,12.450000000000001
73,0.8611290454864502,1.0,15.600000000000001,9.3,12.450000000000001
74,0.8712584972381592,1.0,15.600000000000001,9.3,12.450000000000001
75,0.8814065456390381,1.0,15.600000000000001,9.3,12.450000000000001
76,0.8915560245513916,1.0,15.600000000000001,9.3,12.450000000000001
77,0.9017369747161865,1.0,15.600000000000001,9.3,12.450000000000001
78,0.9118831157684326,1.0,15.600000000000001,9.3,12.450000000000001
79,0.9220497608184814,1.0,15.600000000000001,9.3,12.450000000000001
80,0.932201623916626,1.0,15.600000000000001,9.3,12.450000000000001
81,0.9423329830169678,1.0,15.600000000000001,9.3,12.450000000000001
82,0.9527730941772461,1.0,15.600000000000001,9.3,12.450000000000001
83,0.9629652500152588,1.0,15.600000000000001,9.3,12.450000000000001
84,0.9731235504150391,1.0,15.600000000000001,9.3,12.450000000000001
85,0.9832520484924316,1.0,15.600000000000001,9.3,12.450000000000001
86,0.9934203624725342,1.0,15.600000000000001,9.3,12.450000000000001
87,1.0035607814788818,1.0,15.600000000000001,9.3,12.450000000000001
88,1.013711929321289,1.0,15.600000000000001,9.3,12.450000000000001
89,1.0238780975341797,1.0,15.600000000000001,9.3,12.450000000000001
90,1.034027338027954,1.0,15.600000000000001,9.3,12.450000000000001
